epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
55,888.669,0.22118,0.17919,0.05406,0.0007,0.96124,0.90473,0.92714,0.90709,0.21908,0.30369,0.05093,0.01263,0.000775822,0.000775822,0.000775822
56,902.645,0.21112,0.18823,0.05582,0.00077,0.95435,0.96459,0.9752,0.9564,0.21521,0.19181,0.04981,0.0101,0.000759318,0.000759318,0.000759318
57,920.031,0.21687,0.17105,0.05391,0.00087,0.96846,0.92932,0.97364,0.95457,0.21538,0.18054,0.04846,0.01079,0.000742815,0.000742815,0.000742815
58,934.324,0.20389,0.16945,0.05057,0.00068,0.94795,0.93941,0.98852,0.96632,0.20704,0.17684,0.04831,0.01002,0.000726312,0.000726312,0.000726312
59,953.051,0.20003,0.17791,0.05065,0.00065,0.94917,0.92932,0.96125,0.953,0.21114,0.25757,0.04623,0.01008,0.000709809,0.000709809,0.000709809
60,974.805,0.19994,0.16501,0.05107,0.00077,0.90857,0.96687,0.96977,0.95226,0.20956,0.22381,0.04747,0.011,0.000693305,0.000693305,0.000693305
61,989.943,0.19137,0.15805,0.05109,0.00064,0.9237,0.93431,0.96309,0.95214,0.19545,0.26448,0.04636,0.01072,0.000676802,0.000676802,0.000676802
62,1011.11,0.18688,0.15533,0.05092,0.00069,0.92466,0.93376,0.94858,0.93571,0.2127,0.28441,0.04889,0.01036,0.000660299,0.000660299,0.000660299
63,1026.26,0.19019,0.16844,0.05397,0.00076,0.98274,0.90466,0.95147,0.93326,0.21235,0.23357,0.04762,0.01017,0.000643795,0.000643795,0.000643795
64,1042.46,0.19292,0.18655,0.05356,0.00064,0.97898,0.92581,0.97378,0.95752,0.19386,0.16483,0.0472,0.01031,0.000627292,0.000627292,0.000627292
65,1059.39,0.18167,0.15193,0.05297,0.00067,0.99699,0.95693,0.97909,0.96168,0.18732,0.1417,0.04634,0.01022,0.000610789,0.000610789,0.000610789
66,1074.65,0.17083,0.1365,0.05649,0.00062,0.98247,0.95609,0.95859,0.94939,0.1806,0.16668,0.04729,0.01018,0.000594286,0.000594286,0.000594286
67,1096.07,0.16549,0.14195,0.05302,0.00059,0.98426,0.97431,0.97953,0.96804,0.18519,0.16083,0.04666,0.01063,0.000577782,0.000577782,0.000577782
68,1114.31,0.1791,0.17718,0.05019,0.00085,0.96385,0.96057,0.95516,0.94523,0.17531,0.24499,0.04569,0.01254,0.000561279,0.000561279,0.000561279
69,1129,0.17125,0.1476,0.05415,0.00069,0.97206,0.9415,0.95417,0.94216,0.17783,0.23417,0.04663,0.01017,0.000544776,0.000544776,0.000544776
70,1147.69,0.16998,0.13531,0.05194,0.00088,0.98551,0.87596,0.9548,0.95034,0.15912,0.23967,0.04482,0.01044,0.000528272,0.000528272,0.000528272
71,1164.24,0.16904,0.1429,0.05274,0.0007,0.92057,0.9059,0.94977,0.94183,0.18184,0.2935,0.04394,0.01113,0.000511769,0.000511769,0.000511769
72,1177.91,0.18462,0.16455,0.04964,0.00072,0.9498,0.91024,0.96688,0.95696,0.17752,0.25015,0.04369,0.01162,0.000495266,0.000495266,0.000495266
73,1193.38,0.17525,0.15702,0.05388,0.00071,0.96963,0.95202,0.97603,0.95993,0.20154,0.20514,0.04403,0.01178,0.000478762,0.000478762,0.000478762
74,1214.82,0.16962,0.13019,0.05083,0.00073,0.95128,0.95682,0.97329,0.96332,0.17401,0.19331,0.04456,0.01175,0.000462259,0.000462259,0.000462259
75,1229.82,0.16678,0.13697,0.04877,0.00053,0.97298,0.95803,0.97685,0.96356,0.17162,0.16123,0.04297,0.01136,0.000445756,0.000445756,0.000445756
76,1247.65,0.16269,0.1418,0.05103,0.00054,0.97914,0.94494,0.95506,0.93754,0.176,0.20984,0.04289,0.01073,0.000429253,0.000429253,0.000429253
77,1269.62,0.16732,0.14179,0.04846,0.00062,0.92799,0.94548,0.96585,0.9517,0.16931,0.24515,0.04221,0.01204,0.000412749,0.000412749,0.000412749
78,1284.92,0.15169,0.13395,0.04623,0.0006,0.92933,0.96057,0.97381,0.95624,0.17418,0.27397,0.04239,0.01187,0.000396246,0.000396246,0.000396246
79,1302.38,0.15789,0.12339,0.05133,0.0006,0.98187,0.9438,0.95522,0.94202,0.17873,0.22959,0.04284,0.01184,0.000379743,0.000379743,0.000379743
80,1325.19,0.15253,0.11648,0.0517,0.00058,0.95017,0.95658,0.97302,0.95889,0.17231,0.19721,0.04343,0.01028,0.000363239,0.000363239,0.000363239
81,1341.53,0.16061,0.14116,0.0519,0.00056,0.98385,0.94267,0.97337,0.96032,0.17555,0.19432,0.04339,0.01005,0.000346736,0.000346736,0.000346736
82,1359.95,0.16394,0.14122,0.05233,0.00057,0.95304,0.94494,0.96641,0.95507,0.17372,0.20167,0.0433,0.01006,0.000330233,0.000330233,0.000330233
83,1381.33,0.16104,0.13449,0.04916,0.00065,0.94025,0.94174,0.96923,0.95615,0.16303,0.19356,0.04361,0.00971,0.000313729,0.000313729,0.000313729
84,1397.59,0.1527,0.12996,0.05036,0.00058,0.97707,0.94494,0.97542,0.96349,0.17462,0.17063,0.044,0.0098,0.000297226,0.000297226,0.000297226
85,1415.72,0.15638,0.13571,0.05133,0.00063,0.9706,0.96057,0.97685,0.95983,0.17398,0.18579,0.04367,0.00956,0.000280723,0.000280723,0.000280723
86,1438.19,0.1445,0.12038,0.04863,0.00063,0.97511,0.96057,0.97563,0.96254,0.15964,0.19203,0.0424,0.00959,0.00026422,0.00026422,0.00026422
87,1453.63,0.15345,0.12572,0.05,0.00059,0.97151,0.94295,0.97544,0.96424,0.16748,0.21048,0.04261,0.00957,0.000247716,0.000247716,0.000247716
88,1471.15,0.1457,0.12466,0.05124,0.00074,0.97811,0.94345,0.97107,0.95995,0.15247,0.21806,0.04242,0.00964,0.000231213,0.000231213,0.000231213
89,1494.97,0.1425,0.13067,0.04812,0.00054,0.97108,0.92704,0.97494,0.96307,0.1574,0.19159,0.04283,0.00948,0.00021471,0.00021471,0.00021471
90,1512.13,0.13564,0.12883,0.04841,0.00055,0.9827,0.96871,0.97859,0.96612,0.14879,0.15533,0.04196,0.00938,0.000198206,0.000198206,0.000198206
91,1538.28,0.07351,0.08666,0.00981,0.00045,0.97151,0.95813,0.97656,0.96102,0.16246,0.18995,0.04286,0.01029,0.000181703,0.000181703,0.000181703
92,1557.18,0.07551,0.05963,0.01022,0.00051,0.96251,0.96057,0.97283,0.96137,0.15103,0.17921,0.04232,0.01033,0.0001652,0.0001652,0.0001652
