epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
67,939.212,0.16437,0.14391,0.05225,0.00054,0.9502,0.96451,0.98449,0.9756,0.16269,0.19734,0.04478,0.01003,0.000577782,0.000577782,0.000577782
68,957.853,0.18089,0.17699,0.04962,0.00073,0.94088,0.96875,0.97466,0.96892,0.14115,0.21106,0.04239,0.0103,0.000561279,0.000561279,0.000561279
69,972.79,0.15954,0.15059,0.05427,0.00065,0.96039,0.95639,0.98751,0.97042,0.15814,0.1919,0.04454,0.01038,0.000544776,0.000544776,0.000544776
70,989.538,0.16559,0.14231,0.0515,0.00067,0.97293,0.9563,0.97701,0.96923,0.14068,0.14716,0.04331,0.01002,0.000528272,0.000528272,0.000528272
71,1004.68,0.16297,0.13971,0.05228,0.00058,0.99535,0.94494,0.98751,0.98009,0.12823,0.12241,0.0427,0.01031,0.000511769,0.000511769,0.000511769
72,1016.42,0.17169,0.16503,0.05004,0.00058,0.99331,0.94032,0.98788,0.97877,0.13159,0.1324,0.04287,0.00991,0.000495266,0.000495266,0.000495266
73,1034.69,0.16728,0.14971,0.05431,0.00054,0.91328,0.95805,0.9821,0.97301,0.13434,0.16882,0.04335,0.01001,0.000478762,0.000478762,0.000478762
74,1049.2,0.1621,0.14278,0.05087,0.00064,0.92116,0.97872,0.98913,0.98002,0.15006,0.15161,0.04359,0.01022,0.000462259,0.000462259,0.000462259
75,1062.6,0.16552,0.14024,0.04929,0.00051,0.92584,0.97952,0.98623,0.97724,0.14889,0.14498,0.04281,0.01029,0.000445756,0.000445756,0.000445756
76,1081.95,0.15965,0.15388,0.0507,0.00049,0.97725,0.90041,0.98251,0.97285,0.14139,0.17855,0.04209,0.01017,0.000429253,0.000429253,0.000429253
77,1094.15,0.16472,0.14197,0.04882,0.00059,0.97766,0.94494,0.98992,0.97414,0.14096,0.14395,0.04331,0.0101,0.000412749,0.000412749,0.000412749
78,1106.72,0.14617,0.13753,0.04654,0.00054,0.96029,0.94581,0.98567,0.97097,0.14215,0.16868,0.0423,0.00978,0.000396246,0.000396246,0.000396246
79,1126.51,0.15331,0.13812,0.05139,0.00056,0.9375,0.98438,0.98947,0.97492,0.15646,0.16539,0.04438,0.00965,0.000379743,0.000379743,0.000379743
80,1140.97,0.14991,0.12927,0.05212,0.00051,0.98252,0.93418,0.98677,0.97488,0.14527,0.17056,0.04393,0.00956,0.000363239,0.000363239,0.000363239
81,1154.86,0.15944,0.14869,0.05204,0.00053,0.95772,0.93676,0.98708,0.97666,0.14508,0.16486,0.04428,0.00957,0.000346736,0.000346736,0.000346736
82,1172.45,0.15979,0.15083,0.05235,0.00051,0.94072,0.97367,0.98908,0.97872,0.13796,0.15807,0.04152,0.00979,0.000330233,0.000330233,0.000330233
83,1186.64,0.15796,0.14324,0.04848,0.00064,0.96352,0.95524,0.98887,0.97449,0.13191,0.1726,0.04194,0.00944,0.000313729,0.000313729,0.000313729
84,1200.29,0.15251,0.14444,0.0503,0.00054,0.93602,0.92915,0.98389,0.97358,0.14012,0.18145,0.04208,0.00943,0.000297226,0.000297226,0.000297226
85,1217.9,0.16149,0.13809,0.05124,0.00059,0.89911,0.98188,0.98435,0.97593,0.14469,0.19063,0.0431,0.00928,0.000280723,0.000280723,0.000280723
